id	article	journal	year
20227	Maintenance of Systems by Means of Replacements and Repairs: the Case of Phase-Type Distributions.		2007
20228	On Solving Shortest Paths with a Least-Squares primal-Dual Algorithm.		2008
20229	Vector-Valued Implicit Lagrangian for Symmetric Cone complementarity Problems.		2009
20230	The Pricing Strategy of Complete Pre-Ordered merchandise under Discounted Profit for Maximizing.		2008
20231	An EOQ Model with Limited Storage Capacity under Trade Credits.		2007
20232	An interior Point Approach for Semidefinite Optimization Using New Proximity Functions.		2009
20233	Finding the Reference Set of a Decision Making Unit.		2008
20234	An EOQ Model for Items with a Fixed Shelf-Life and a declining Demand Rate Based on Time-to-expiry Technical Note.		2009
20235	Customer Selection Problem with Search Cost, due date, sideline Profit, and no Waiting Room.		2007
20236	Stability of a 2-Station-5-Class Re-Entrant Line with Infinite Supply of Work.		2008
20237	Application of Analytic Hierarchy Process in Multi-Objective Mixed Integer Programming for airlift Capacity Planning.		2006
20238	Natural or Internal Selection? The Case of Canalization in Complex Evolutionary Systems.		2008
20239	Spatial-Pattern-Induced Evolution of a Self-Replicating Loop Network.		2006
20240	Genetic Exchange Leading to Self-Assembling RNA Species upon Encapsulation in Artificial Protocells.		2007
20241			2006
20242			2009
20243			2008
20244			2007
20245	The Dynamic Changes in Roles of Learning through the Baldwin Effect.		2007
20246	Swarm Chemistry.		2009
20247	Evolution and Complexity: The Double-Edged Sword.		2008
20248	Hyperspace Geography: Visualizing Fitness Landscapes beyond 4D.		2006
20249			2008
20250	The Effects of Cultural Learning in Populations of Neural Networks.		2007
20251	Evolution of Birdsong Syntax by Interjection Communication.		2007
20252	Exploring the Operational Characteristics of Inference Algorithms for Transcriptional Networks by Means of Synthetic Data.		2008
20253	An Effective Hierarchical Model for the Biomolecular Covalent Bond: An Approach Integrating Artificial Chemistry and an Actual Terrestrial Life System.		2009
20254	Ramifying Feedback Networks, Cross-Scale Interactions, and Emergent Quasi Individuals in Conway's Game of Life.		2009
20255			2007
20256	Self-Organization of Intertidal Snails Facilitates Evolution of Aggregation Behavior.		2008
20257			2007
20258	A Synthetic Vision System Using Directionally Selective Motion Detectors to Recognize Collision.		2007
20259	Bio-Logic: Gene Expression and the Laws of Combinatorial Logic.		2008
20260	"""Life Is a Verb"": Inflections of Artificial Life in Cultural Context."		2007
20261	Lifetime Learning as a Factor in Life History Evolution.		2009
20262	A Neural Learning Classifier System with Self-Adaptive Constructivism for Mobile Robot Control.		2006
20263	Visualizing Evolutionary Dynamics of Self-Replicators: A Graph-Based Approach.		2006
20264	A Comprehensive Overview of the Applications of Artificial Life.		2006
20265	Understanding the Course and State of Evolutionary Optimizations Using Visualization: Ten Years of Industry Experience with Evolutionary Algorithms.		2006
20266	Evolving Homogeneous Neurocontrollers for a Group of Heterogeneous Robots: Coordinated Motion, Cooperation, and Acoustic Communication.		2008
20267	Neural Processing of Counting in Evolved Spiking and McCulloch-Pitts Agents.		2006
20268	The Role of Translocation and Selection in the Emergence of Genetic Clusters and Modules.		2007
20269			2007
20270	Interpreting Rosen.		2007
20271	Metabolic Photofragmentation Kinetics for a Minimal Protocell: Rate-Limiting Factors, Efficiency, and Implications for Evolution.		2008
20272	Genetic Regulatory Network Models of Biological Clocks: Evolutionary History Matters.		2008
20273	Self-Replication and Self-Assembly for Manufacturing.		2006
20274	Reliable Self-Replicating Machines in Asynchronous Cellular Automata.		2007
20275	Visualizing Coevolution with CIAO Plots.		2006
20276	Visualizing Evolutionary Dynamics of Self-Replicators: A Graph-Based Approach.		2006
20277	Self-Description for Construction and Computation on Graph-Rewriting Automata.		2007
20278	Modeling Molecular Computing Systems by an Artificial Chemistry - Its Expressive Power and Application.		2007
20279			2007
20280	Embryonics: A Path to Artificial Life?		2006
20281	A Synthon Approach to Artificial Chemistry.		2009
20282			2008
20283	The Localization Hypothesis and Machines.		2007
20284	Using the XCS Classifier System for Multi-objective Reinforcement Learning Problems.		2007
20285	The Numerical Measure of Symmetry for 3D Stick Creatures.		2008
20286			2008
20287			2008
20288	Evolution and Development of a Multicellular Organism: Scalability, Resilience, and Neutral Complexification.		2006
20289	Full Body: The Importance of the Phenotype in Evolution.		2008
20290	Shape Homeostasis in Virtual Embryos.		2009
20291	Life Cycle of a Minimal Protocell - A Dissipative Particle Dynamics Study.		2007
20292	Ant-Based Clustering and Topographic Mapping.		2006
20293	Simple Models of Assortment through Environmental Feedback.		2007
20294			2006
20295			2009
20296	Criteria for Conceptual and Operational Notions of Complexity.		2008
20297	Agent-Based Brain Modeling by Means of Hierarchical Cooperative Coevolution.		2009
20298	Synchronization Phenomena in Surface-Reaction Models of Protocells.		2007
20299	An Individual-Based Evolving Predator-Prey Ecosystem Simulation Using a Fuzzy Cognitive Map as the Behavior Model.		2009
20300	Modeling Biochemical Pathways Using an Artificial Chemistry.		2009
20301	Shapes and Self-Movement in Protocell Systems.		2009
20302	Picture This: The State of the Art in Visualization for Complex Adaptive Systems.		2006
20303	Evolving Self-Assembly in Autonomous Homogeneous Robots: Experiments with Two Physical Robots.		2009
20304	The Organic Builder: A Public Experiment in Artificial Chemistries and Self-Replication.		2009
20305	Evolvable Self-Reproducing Cells in a Two-Dimensional Artificial Chemistry.		2007
20306	The Origin of the Eukaryotic Cell Based on Conservation of Existing Interfaces.		2006
20307	V-like Formations in Flocks of Artificial Birds.		2008
20308	NetLogo, a Multi-agent Simulation Environment.		2007
20309	Maintenance of Environmental Homeostasis by Biota, Selected Nonlocally by Circulation and Fluctuation Mechanisms.		2006
20310	The Self-Construction and -Repair of a Foraging Organism by Explicitly Specified Development from a Single Cell.		2007
20311	Hierarchical Self-Organization in the Finitary Process Soup.		2008
20312	A Topological Approach to Chemical Organizations.		2009
20313	Multidimensional Scaling for Evolutionary Algorithms - Visualization of the Path through Search Space and Solution Space Using Sammon Mapping.		2006
20314			2007
20315			2008
20316	Towards Unconventional Computing through Simulated Evolution: Control of Nonlinear Media by a Learning Classifier System.		2008
20317	The Nature of Words in Human Protolanguages: It's Not a Holophrastic-Atomic Meanings Dichotomy.		2008
20318	Life's Solution: Inevitable Humans in a Lonely Universe.		2006
20319	Issues in Auditory Display.		2006
20320			2009
20321	On the Gradual Evolution of Complexity and the Sudden Emergence of Complex Features.		2008
20322	Systems Biology and Artificial Life: Towards Predictive Modeling of Biological Systems.		2008
20323	A Category Theoretical Argument against the Possibility of Artificial Life: Robert Rosen's Central Proof Revisited.		2006
20324			2009
20325	Neurocontroller Analysis via Evolutionary Network Minimization.		2006
20326	Evolution of Complexity.		2008
20327			2007
20328	Ant-Based Computing.		2009
20329	The Embodiment of Cockroach Aggregation Behavior in a Group of Micro-robots.		2008
20330	Evolving Virtual Creatures and Catapults.		2007
20331	Phase Transitions and Bistability in Honeybee Foraging Dynamics.		2008
20332	The Influence of Learning on Evolution: A Mathematical Framework.		2009
20333	Axiomatic Scalable Neurocontroller Analysis via the Shapley Value.		2006
20334	From Machine and Tape to Structure and Function: Formulation of a Reflexively Computing System.		2006
20335	A Control System for a Flexible Spine Belly-Dancing Humanoid.		2006
20336			2008
20337	A New Kind of Science.		2006
20338	Chemical Genetic Algorithms - Evolutionary Optimization of Binary-to-Real-Value Translation in Genetic Algorithms.		2006
20339	Book ReviewKinematic Self-Replicating Machines.Robert A. Freitas, Jr., andRalph C. Merkle. (2004 Landes Bioscience.) $150.00, xxi+341 pp.		2006
20340	Heterochrony and Artificial Embryogeny: A Method for Analyzing Artificial Embryogenies Based on Developmental Dynamics.		2009
20341	. (2005, MIT Press.) $38.00 (Cloth), 392 pp.		2006
20342	The Topology of the Protein Network Influences the Dynamics of Gene Order: From Systems Biology to a Systemic Understanding of Evolution.		2008
20343			2007
20344	Distributed Coordination of Simulated Robots Based on Self-Organization.		2006
20345	Hierarchical Coordinate Systems for Understanding Complexity and its Evolution, with Applications to Genetic Regulatory Networks.		2008
20346	Visualizing Speciation in Artificial Cichlid Fish.		2006
20347	Genetic Stability and Territorial Structure Facilitate the Evolution of Tag-Mediated Altruism.		2006
20348			2008
20349			2009
20350	Simulating the Hallmarks of Cancer.		2006
20351	Evolving Physically Simulated Flying Creatures for Efficient Cruising.		2006
20352	An Artificial Ecosystem: Emergent Dynamics and Lifelike Properties.		2007
20353	Construction of a Biological Tissue Model Based on a Single-Cell Model: A Computer Simulation of Metabolic Heterogeneity in the Liver Lobule.		2008
20354	Through the Interaction of Neutral and Adaptive Mutations, Evolutionary Search Finds a Way.		2006
20355	Algebraic Method for the Analysis of Signaling Crosstalk.		2008
20356	Constructing Gene Networks Using Variational Bayesian Variable Selection.		2008
20357	Natural Selection in Relation to Complexity.		2008
20358	Exploring the Dynamics of Adaptation with Evolutionary Activity Plots.		2006
20359			2007
20360	Stochastic Simulation of the Chemoton.		2009
20361	The Infection Algorithm: An Artificial Epidemic Approach for Dense Stereo Correspondence.		2006
20362			2008
20363	Computational Realizations of Living Systems.		2007
20364	Computing Algebraic Functions with Biochemical Reaction Networks.		2009
20365	The Emergence of Overlapping Scale-free Genetic Architecture in Digital Organisms.		2008
20366	Artificial Chemistry.		2009
20367	Resilient Individuals Improve Evolutionary Search.		2006
20368			2009
20369	A Living System Must Have Noncomputable Models.		2007
20370	LinMap: Visualizing Complexity Gradients in Evolutionary Landscapes.		2008
20371			2009
20372	Understanding Linguistic Evolution by Visualizing the Emergence of Topographic Mappings.		2006
20373	A Hypercube-Based Encoding for Evolving Large-Scale Neural Networks.		2009
20374	A New Model for Investigating the Evolution of Transcription Control Networks.		2009
20375	Model Predictive Control - A Simple and Powerful Method to Control Power Converters.		2009
20376	Dynamic Modeling, Experimental Characterization, and Verification for SRM Operation With Simultaneous Two-Phase Excitation.		2006
20377	An ICPT-Supercapacitor Hybrid System for Surge-Free Power Transfer.		2007
20378	Calibration of Resolver Sensors in Electromechanical Braking Systems: A Modified Recursive Weighted Least-Squares Approach.		2007
20379	Light-Intensity-Feedback-Waveform Generator Based on MEMS Variable Optical Attenuator.		2008
20380	A Comprehensive Study of a Hybrid Modulation Technique for the Neutral-Point-Clamped Converter.		2009
20381	Antislip Readhesion Control Based on Speed-Sensorless Vector Control and Disturbance Observer for Electric Commuter Train - Series 205-5000 of the East Japan Railway Company.		2007
20382	Cascaded Multilevel Inverter With Regeneration Capability and Reduced Number of Switches.		2008
20383	Zappa, a Quasi-Passive Biped Walking Robot With a Tail: Modeling, Behavior, and Kinematic Estimation Using Accelerometers.		2008
20384	Plug-In Dual-Mode-Structure Repetitive Controller for CVCF PWM Inverters.		2009
20385	Tuning of Control Systems Over CSMA Networks.		2009
20386	A ZVS-PWM Single-Phase Inverter Using a Simple ZVS-PWM Commutation Cell.		2008
20387	A Modulation Technique to Reduce Switching Losses in Matrix Converters.		2009
20388	High-Voltage Auxiliary Power Supply Using Series-Connected MOSFETs and Floating Self-Driving Technique.		2009
20389	Implementation of Bilateral Control System Based on Acceleration Control Using FPGA for Multi-DOF Haptic Endoscopic Surgery Robot.		2009
20390	Hybrid Electric Vehicle Power Management Solutions Based on Isolated and Nonisolated Configurations of Multilevel Modular Capacitor-Clamped Converter.		2009
20391	Flexible Active Power Control of Distributed Power Generation Systems During Grid Faults.		2007
20392	Integrating Mixed-Reality Remote Experiments Into Virtual Learning Environments Using Interchangeable Components.		2009
20393	Dimming Electronic Ballasts Without Striations.		2009
20394	Vibration Suppression Using Single Neuron-Based PI Fuzzy Controller and Fractional-Order Disturbance Observer.		2007
20395	Comparative Performance Evaluation of Current-Mode Control Schemes Adapted to Asymmetrically Driven Bridge-Type Pulsewidth Modulated DC-to-DC Converters.		2008
20396	Extraction of Periodic Signal Without External Reference by Time-Domain Average Scanning.		2008
20397	Bifurcation Analysis of Ultrashort Self-Acting Gas Journal Bearings for MEMS.		2009
20398	Modeling of Connections Taking Into Account Return Plane: Application to EMI Modeling for Railway.		2009
20399	FPGA-Based Current Controllers for AC Machine Drives - A Review.		2007
20400	Zero-Steady-State-Error Input-Current Controller for Regenerative Multilevel Converters Based on Single-Phase Cells.		2007
20401	Maintaining a good power factor and saving money for industrial loads.		2006
20402	Flux-Weakening Control of IPM Motors With Significant Effect of Magnetic Saturation and Stator Resistance.		2008
20403	A New Phase-Shifted Full-Bridge Converter With Voltage-Doubler-Type Rectifier for High-Efficiency PDP Sustaining Power Module.		2008
20404	Intelligent PV Module for Grid-Connected PV Systems.		2006
20405	Analytical Prediction of the Short-Circuit Current in Fault-Tolerant Permanent-Magnet Machines.		2008
20406	Enhanced Particles With Pseudolikelihoods for Three-Dimensional Tracking.		2009
20407	Fault Detection for Robot Manipulators via Second-Order Sliding Modes.		2008
20408	Architecture Complexity and Energy Efficiency of Small Wind Turbines.		2007
20409	Inverter EMI modeling and simulation methodologies.		2006
20410	Dynamic Structure Neural-Fuzzy Networks for Robust Adaptive Control of Robot Manipulators.		2008
20411	Optimal design of digital IIR filters by using hybrid taguchi genetic algorithm.		2006
20412	Ceiling-Based Visual Positioning for an Indoor Mobile Robot With Monocular Vision.		2009
20413	Snubber-Assisted Zero-Voltage and Zero-Current Transition Bilateral Buck and Boost Chopper for EV Drive Application and Test Evaluation at 25 kW.		2009
20414	Adaptive enhanced fuzzy sliding-mode control for electrical servo drive.		2006
20415	A Realization of Multilateral Force Feedback Control for Cooperative Motion.		2007
20416	Comparison of Three Single-Phase PLL Algorithms for UPS Applications.		2008
20417	Features, Design Tools, and Application Domains of FPGAs.		2007
20418	Improving Transient Performance in Tracking General References Using Composite Nonlinear Feedback Control and Its Application to High-Speed XY -Table Positioning Mechanism.		2007
20419	Pushing Operation by Flexible Manipulator Taking Environmental Information Into Account.		2006
20420	Fuzzy-PI-Based Direct-Output-Voltage Control Strategy for the STATCOM Used in Utility Distribution Systems.		2009
20421	Linear Current Control Scheme With Series Resonant Harmonic Compensator for Single-Phase Grid-Connected Photovoltaic Inverters.		2008
20422	Real-Time Identification of Optimal Operating Points in Photovoltaic Power Systems.		2006
20423	Transformerless DC-DC Converters With High Step-Up Voltage Gain.		2009
20424	Model Predictive Control of Parallel-Connected Inverters for Uninterruptible Power Supplies.		2008
20425	A Variable Step Size INC MPPT Method for PV Systems.		2008
20426	Industry-oriented software-based system for quality evaluation of vehicle audio environments.		2006
20427	Cascade Control of PM DC Drives Via Second-Order Sliding-Mode Technique.		2008
20428	Onboard Evolutionary Risk Recognition System for Automobiles - Toward the Risk Map System.		2007
20429	Sensorless Control and Fault Diagnosis of Electromechanical Contactors.		2008
20430	Power Measurement by Output-Current Integration in Series Resonant Inverters.		2009
20431	Development and Implementation of a Nonlinear-Controller-Based IM Drive Incorporating Iron Loss With Parameter Uncertainties.		2009
20432	An Implementation of an Adaptive Control Algorithm for a Three-Phase Shunt Active Filter.		2009
20433	An Optimized Space Vector Modulation Sequence for Improved Harmonic Performance.		2009
20434	Optimization of an Industrial Sensor and Data Acquisition Laboratory Through Time Sharing and Remote Access.		2008
20435	Virtual-Flux-Based Predictive Direct Power Control of AC/DC Converters With Online Inductance Estimation.		2008
20436	Dexterous Manipulation in Constrained Bilateral Teleoperation Using Controlled Supporting Point.		2007
20437	Frequency-Spectrum-Based Antiwindup Compensator for PI-Controlled Systems.		2006
20438	m Low-Voltage Low-Power Technology.		2008
20439	Integrated Motion Control of a Wheelchair in the Longitudinal, Lateral, and Pitch Directions.		2008
20440	rot Interferometers.		2007
20441	Bridgeless Boost Rectifier With Low Conduction Losses and Reduced Diode Reverse-Recovery Problems.		2007
20442	Performance Improvement of Industrial Drives With Mechanical Elasticity Using Nonlinear Adaptive Kalman Filter.		2008
20443	Developmental Process of a Chopstick-Like Hybrid-Structure Two-Fingered Micromanipulator Hand for 3-D Manipulation of Microscopic Objects.		2009
20444	Energy-Recovery Circuit Using an Address Voltage Source for PDPs.		2009
20445	Adaptive Control of Two-Axis Motion Control System Using Interval Type-2 Fuzzy Neural Network.		2009
20446	Hybrid Multilevel Converters: Unified Analysis and Design Considerations.		2007
20447	A Novel High-Frequency Transformer-Linked Soft-Switching Half-Bridge DC-DC Converter With Constant-Frequency Asymmetrical PWM Scheme.		2009
20448	A Walking Stabilization Method Based on Environmental Modes on Each Foot for Biped Robot.		2009
20449	A Multistage Position/Force Control for Constrained Robotic Systems With Friction: Joint-Space Decomposition, Linearization, and Multiobjective Observer/Controller Synthesis Using LMI Formalism.		2006
20450	Modeling, Analysis, and Neural Network Control of an EV Electrical Differential.		2008
20451	Direct Virtual Torque Control for Doubly Fed Induction Generator Grid Connection.		2009
20452	Chaoization of DC Motors for Industrial Mixing.		2007
20453	A Novel Single-Stage High-Power-Factor Electronic Ballast With Symmetrical Half-Bridge Topology.		2008
20454	Online Diagnosis of Induction Motors Using MCSA.		2006
20455	A Flexible Converter With Two Selectable Topologies.		2009
20456	Remedial Operating Strategies for a 12-Pulse LCI Drive System.		2008
20457	An Efficient Reader Anticollision Algorithm in Dense RFID Networks With Mobile RFID Readers.		2009
20458	Performance Analysis of MicroNet: A Higher Layer Protocol for Multiuser Remote Laboratory.		2009
20459	Analysis of Fourth-Order DC-DC Converters: A Flow Graph Approach.		2008
20460	Direct Control of Radial Displacement for Bearingless Permanent-Magnet-Type Synchronous Motors.		2009
20461	New digital control method for power factor correction.		2006
20462	General Modulation Strategy for Seven-Phase Inverters With Independent Control of Multiple Voltage Space Vectors.		2008
20463	DC-Link Harmonics of Three-Phase Voltage-Source Converters Influenced by the Pulsewidth-Modulation Strategy - An Analysis.		2008
20464	Efficiency Optimizing Control of Induction Motor Using Natural Variables.		2006
20465	An Algorithm for Extracting Fuzzy Rules Based on RBF Neural Network.		2006
20466	Intermittent-Chaos-and-Cepstrum-Analysis-Based Early Fault Detection on Shuttle Valve of Hydraulic Tube Tester.		2009
20467	Modeling and Optimization of a Solar Energy Harvester System for Self-Powered Wireless Sensor Networks.		2008
20468	A Resolver Angle Estimator Based on Its Excitation Signal.		2009
20469	An Improved Magnetic-Coupled AC-PDP Sustain Driver With Dual Recovery Paths.		2007
20470	Ropeless Elevator With Linear Switched Reluctance Motor Drive Actuation Systems.		2007
20471	Weighted Control of Traction Drives With Parallel-Connected AC Machines.		2006
20472	A Loosely Coupled Planar Wireless Power System for Multiple Receivers.		2009
20473	Observer-Based Tuning of Two-Inertia Servo-Drive Systems With Integrated SAW Torque Transducers.		2007
20474	Practical Control Implementation of a Three- to Single-Phase Online UPS.		2008
20475	Boost Converter With Coupled Inductors and Buck-Boost Type of Active Clamp.		2008
20476	Adaptive Sliding-Mode Position Control for Piezo-Actuated Stage.		2008
20477	A Remote Laboratory in Engineering Measurement.		2009
20478	Automatic Reactive-Power Control of Isolated Wind-Diesel Hybrid Power Systems.		2006
20479	Resistive Control for a Photovoltaic Battery Charging System Using a Microcontroller.		2008
20480	A Predictive Algorithm for Controlling Speed and Rotor Flux of Induction Motor.		2008
20481	Dynamic and Steady-State Models for the PRC-LCC Resonant Topology With a Capacitor as Output Filter.		2007
20482	A Novel Microcontroller for Grid-Connected Photovoltaic Systems.		2006
20483	Current Trends in Remote Laboratories.		2009
20484	Extended Operation of Cascade Multicell Converters Under Fault Condition.		2009
20485	An Efficient Localization Scheme for a Differential-Driving Mobile Robot Based on RFID System.		2007
20486	PID-Like Neural Network Nonlinear Adaptive Control for Uncertain Multivariable Motion Control Systems.		2009
20487	Energy Storage Systems for Automotive Applications.		2008
20488	An Adaptive Sliding Stator Flux Observer for a Direct-Torque-Controlled IPM Synchronous Motor Drive.		2007
20489	Electromechanical Modeling of a Permanent-Magnet Spherical Actuator Based on Magnetic-Dipole-Moment Principle.		2009
20490	Power Line Communication in Digitally Controlled DC-DC Converters Using Switching Frequency Modulation.		2008
20491	Limitations of Voltage-Oriented PI Current Control of Grid-Connected PWM Rectifiers With LCL Filters.		2009
20492	A Modularized Charge Equalizer for an HEV Lithium-Ion Battery String.		2009
20493	An Improved Rotor Resistance Identification Method for Magnetic Field Regulation in Bearingless Induction Motor Drives.		2008
20494	Optimal Synchronization Control of High-Precision Motion Systems.		2006
20495	Fast Dynamic Control of Medium Voltage Drives Operating at Very Low Switching Frequency - An Overview.		2008
20496	A New Model-Based Technique for the Diagnosis of Rotor Faults in RFOC Induction Motor Drives.		2008
20497	Zero-Voltage-Transition Control for a Class of Resonant Converters.		2006
20498	Maximum Power Point Tracking in a One-Cycle-Controlled Single-Stage Photovoltaic Inverter.		2008
20499	One-Step Modulation Predictive Current Control Method for the Asymmetrical Dual Three-Phase Induction Machine.		2009
20500	On-Line Monitoring of Mechanical Faults in Variable-Speed Induction Motor Drives Using the Wigner Distribution.		2008
20501	Speed Sensorless Control of a Long-Stator Linear Synchronous Motor Arranged in Multiple Segments.		2007
20502	Case study of the TP-model transformation in the control of a complex dynamic model with structural nonlinearity.		2006
20503	Sensorless Control of Single Switch-Based Switched Reluctance Motor Drive Using Neural Network.		2008
20504	A UPS With 110-V/220-V Input Voltage and High-Frequency Transformer Isolation.		2008
20505	Indoor Power Harvesting Using Photovoltaic Cells for Low-Power Applications.		2009
20506	On the Use of a Lower Sampling Rate for Broken Rotor Bar Detection With DTFT and AR-Based Spectrum Methods.		2008
20507	Quasi-Resonant DC-Link Inverter With a Reduced Number of Active Elements.		2007
20508	An Adaptive Solar Photovoltaic Array Using Model-Based Reconfiguration Algorithm.		2008
20509	A floating-point FPGA-based self-tuning regulator.		2006
20510	Improved Differential Evolution Based on Stochastic Ranking for Robust Layout Synthesis of MEMS Components.		2009
20511	Switching Control of Image-Based Visual Servoing With Laser Pointer in Robotic Manufacturing Systems.		2009
20512	A Nonisolated ZVS Asymmetrical Buck Voltage Regulator Module With Direct Energy Transfer.		2009
20513	DC-Voltage-Ratio Control Strategy for Multilevel Cascaded Converters Fed With a Single DC Source.		2009
20514	A Practical Iron Loss Calculation for AC Filter Inductors Used in PWM Inverters.		2009
20515	Some Applications of Fractional Calculus in Suppression of Chaotic Oscillations.		2008
20516	Fault-Tolerant Operating Strategies Applied to Three-Phase Induction-Motor Drives.		2006
20517	A Single-Stage PV Module Integrated Converter Based on a Low-Power Current-Source Inverter.		2008
20518	Control of Three-Level PWM Converter Applied to Variable-Speed-Type Turbines.		2009
20519	Series-Parallel Resonant Converter in Self-Sustained Oscillation Mode With the High-Frequency Transformer-Leakage-Inductance Effect: Analysis, Modeling, and Design.		2007
20520	Kalman-Filter-Based Sensor Integration of Variable Power Assist Control Based on Human Stiffness Estimation.		2009
20521	A Distributed Active-Vision Network-Space Approach for the Navigation of a Car-Like Wheeled Robot.		2009
20522	Design of Broadband Hybrid Coupler With Tight Coupling Using Jumping Gene Evolutionary Algorithm.		2009
20523	Flicker-Insensitive Light Dimmer for Incandescent Lamps.		2008
20524	Design of Duty-Varied Voltage Pulse Charger for Improving Li-Ion Battery-Charging Response.		2009
20525	Automatic Online Diagnosis Algorithm for Broken-Bar Detection on Induction Motors Based on Discrete Wavelet Transform for FPGA Implementation.		2008
20526	Industrial Wireless Sensor Networks: Challenges, Design Principles, and Technical Approaches.		2009
20527	An Improved AC-DC Single-Stage Full-Bridge Converter With Reduced DC Bus Voltage.		2009
20528	Vibration Control Above the Nyquist Frequency in Hard Disk Drives.		2008
20529	Based on Direct Thrust Control for Linear Synchronous Motor Systems.		2009
20530	Analysis of an Adaptive Observer for Sensorless Control of Interior Permanent Magnet Synchronous Motors.		2008
20531	A New Control Method for Input-Output Harmonic Elimination of the PWM Boost-Type Rectifier Under Extreme Unbalanced Operating Conditions.		2009
20532	Fault Diagnosis of a ZVS DC-DC Converter Based on DC-Link Current Pulse Shapes.		2008
20533	A Single-Stage High-Power-Factor Electronic Ballast Based on Integrated Buck Flyback Converter to Supply Metal Halide Lamps.		2008
20534	A Method for Motion Abstraction Based on Haptic Information Directionality and an Application to Haptic Motion Display System.		2009
20535	RFID-Based Smart Freezer.		2009
20536	A Hybrid Energy Storage System Based on Compressed Air and Supercapacitors With Maximum Efficiency Point Tracking (MEPT).		2006
20537	Model Reference Adaptive Controller-Based Rotor Resistance and Speed Estimation Techniques for Vector Controlled Induction Motor Drive Utilizing Reactive Power.		2008
20538	High-Performance Sustain Driver for Plasma Display.		2006
20539	Descriptive and Inferential Statistics for Supervising and Monitoring the Operation of PV Plants.		2009
20540	Improved Control of DFIG Systems During Network Unbalance Using PI-R Current Regulators.		2009
20541	A Nonisolated Single-Phase UPS Topology With 110-V/220-V Input-Output Voltage Ratings.		2008
20542	A Frequency Multiplication Resonant Inverter With Constant Frequency Phase Control.		2008
20543	Parallel-Connected Multiphase Multidrive Systems With Single Inverter Supply.		2009
20544	Fault Detection on Multicell Converter Based on Output Voltage Frequency Analysis.		2009
20545	Failsafe Drive Performance of FRID Electric Vehicles With the Structure Driven by the Front and Rear Wheels Independently.		2008
20546	Design of a Reflex-Based Bidirectional Converter With the Energy Recovery Function.		2008
20547	One-Chip Class-E Inverter Controller for Driving a Magnetron.		2009
20548	Performance of HF signal injection techniques for zero-low-frequency vector control of induction Machines under sensorless conditions.		2006
20549	Analysis and Diagnostics of Adjacent and Nonadjacent Broken-Rotor-Bar Faults in Squirrel-Cage Induction Machines.		2009
20550	Modeling and Real-Time Simulation of Internal Faults in Synchronous Generators With Parallel-Connected Windings.		2007
20551	Soft-Switching Zeta-Flyback Converter With a Buck-Boost Type of Active Clamp.		2007
20552	Double-Tiered Switched-Capacitor Battery Charge Equalization Technique.		2008
20553	Sliding-Mode Control for a Single-Phase AC/AC Quantum Resonant Converter.		2009
20554	Novel Family of PWM Soft-Single-Switched DC-DC Converters With Coupled Inductors.		2009
20555	Design of Embedded DSP-Based Fuzzy Controllers for Autonomous Mobile Robots.		2008
20556	Mechanical Energy Harvester With Ultralow Threshold Rectification Based on SSHI Nonlinear Technique.		2009
20557	A Cost-Effective Method of Electric Brake With Energy Regeneration for Electric Vehicles.		2009
20558	Hardware-in-the-Loop Overhead Line Emulator for Active Pantograph Testing.		2009
20559	A New Control Technique for Three-Phase Shunt Hybrid Power Filter.		2009
20560	Picture-Based Address Power Saving Method for High Resolution Plasma Display Panel (PDP).		2008
20561	Online Model-Based Stator-Fault Detection and Identification in Induction Motors.		2009
20562	An Investigation on Design and Switching Dynamics of a Voltage Source Inverter to Compensate Unbalanced and Nonlinear Loads.		2009
20563	Line-Interactive UPS Using a Fuel Cell as the Primary Source.		2008
20564	An Improved DTC-SVM Method for Sensorless Matrix Converter Drives Using an Overmodulation Strategy and a Simple Nonlinearity Compensation.		2007
20565	Thermal Model and Behavior of a Totally-Enclosed-Water-Cooled Squirrel-Cage Induction Machine for Traction Applications.		2008
20566	A high-performance sensorless indirect stator flux orientation control of induction motor drive.		2006
20567	An Adaptive Address Power Saving Method Based on the Prediction of Power Consumption in an AC PDP.		2009
20568	MPC of Switching in a Boost Converter Using a Hybrid State Model With a Sliding Mode Observer.		2009
20569	DC-Link Three-Phase-to-Three-Phase Four-Leg Converters.		2007
20570	A Fast Flux Search Controller for DTC-Based Induction Motor Drives.		2007
20571	A Reduced-Switch-Count Five-Level Inverter With Common-Mode Voltage Elimination for an Open-End Winding Induction Motor Drive.		2007
20572	Unity Power Factor Control in Three-Phase AC/DC Boost Converter Using Sliding Modes.		2008
20573	Effects of X Capacitors on EMI Filter Effectiveness.		2008
20574	Performance Evaluation of a Novel Hybrid Multipulse Rectifier for Utility Interface of Power Electronic Converters.		2007
20575	Point-to-Point Motion Control for a High-Acceleration Positioning Table via Cascaded Learning Schemes.		2007
20576	Output Feedback Controller Design for a Class of MIMO Nonlinear Systems Using High-Order Sliding-Mode Differentiators With Application to a Laboratory 3-D Crane.		2008
20577	Discrete-Status-Based Localization for Indoor Service Robots.		2006
20578	Study on a Series Resistive SFCL to Improve Power System Transient Stability: Modeling, Simulation, and Experimental Verification.		2009
20579	Model Predictive Control of an Inverter With Output LC Filter for UPS Applications.		2009
20580	A Space Vector Modulation Strategy for a Back-to-Back Five-Level HVDC Converter System.		2009
